Date,Description,Debit,Credit,Balance
2021-02-01,INB/707320851/INTERNET TAX PAYMENT/,56437.0,,558111.24
2021-02-01,INB/707320918/INTERNET TAX PAYMENT/OK,21208.0,,536903.24
2021-02-01,INB/707321010/INTERNET TAX PAYMENT/OK,31814.0,,505089.24
2021-02-03,INB/707337992/INTERNET TAX PAYMENT/,44731.0,,460358.24
2021-02-13,INB/633315868//12346939465857539460,189936.0,,270422.24
2021-02-13,INB/707487082/GST TAX PAYMENT/GST PAYMENT,53550.0,,216872.24
2021-02-13,INB/633326183/ESIC PAYMENTS/ESIC payment,26669.0,,190203.24
2021-02-13,GST @18% on Charge,18.0,,190185.24
2021-02-13,Consolidated Charges for A/c,100.0,,190085.24
2021-02-20,INB/707550617/GST TAX PAYMENT/Gst payment,1000.0,,189085.24
2021-03-03,INB/707614208/INTERNET TAX PAYMENT/TDS,45718.0,,143367.24
2021-03-03,INB/707614289/INTERNET TAX PAYMENT/TDS,43744.0,,99623.24
2021-03-04,TRF/ASHIANA LE RESIDENCY APARTMENT OWNERS ASSOCIA,,647873.0,747496.24
2021-03-06,By Clg 000081 240  Delhi,,44731.0,792227.24
2021-03-06,By Clg 000092 240  Delhi,,89462.0,881689.24
2021-03-12,TRF/INPROSPER INFRASTRUCTURE LLP DESIGNATED ACCOU,,30165.0,911854.24
2021-03-13,INB/636134220//11579336815572536810,178880.0,,732974.24
2021-03-13,INB/636140475/ESIC PAYMENTS/ESIC,24764.0,,708210.24
2021-03-13,GST @18% on Charge,18.0,,708192.24
2021-03-13,Consolidated Charges for A/c,100.0,,708092.24
2021-03-19,INB/707848435/GST TAX PAYMENT/GST PAYMENT,229606.0,,478486.24
2021-03-25,TRF/ASHIANA LE RESIDENCY APARTMENT OWNERS ASSOCIA,,414867.0,893353.24
2021-03-30,INB/707940244/INTERNET TAX PAYMENT/TDS,290284.0,,603069.24
2021-03-30,INB/707940411/INTERNET TAX PAYMENT/,258823.0,,344246.24
